Total Keypoints train: 154

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,197,86,46,51.5461,14.7481
0,197,86,46,52.4714,14.9624
0,197,86,46,33.8373,15.0691
0,197,86,46,12.4587,15.0544
0,197,86,46,9.04077,15.0208
0,197,86,46,8.69007,14.9856
0,197,86,46,8.26467,14.9485
0,197,86,46,8.84251,14.915
1,127,67,33,4.81967,14.8598
0,127,67,33,39.2281,14.9922
0,127,67,33,9.17759,14.9608
0,127,67,33,8.24967,14.9247
0,127,67,33,8.88195,14.8924
0,127,67,33,8.76424,14.8598
0,127,67,33,8.54503,14.8264
0,127,67,33,8.72722,14.7943
0,127,67,33,8.35995,14.7606
0,127,67,33,9.13125,14.7313
0,127,67,33,7.91865,14.696
0,127,67,33,9.05741,14.6669
0,127,67,33,8.83181,14.637
0,127,67,33,8.5747,14.6061
1,222,82,60,4.02665,14.5524
0,222,82,60,61.0018,14.787
0,66,56,12,3.13579,14.7284
0,45,47,16,6.88852,14.6892
0,38,64,30,8.06152,14.6562
0,25,61,32,9.30172,14.6297
0,65,66,20,6.69922,14.5907
1,66,61,16,5.55997,14.5464
0,18,66,27,14.9777,14.5485
0,29,56,17,8.2748,14.518
0,29,56,17,60.2959,14.7392
0,29,56,17,61.8392,14.9656
1,72,71,24,5.5013,14.9203
0,72,71,24,56.902,15.1203
0,72,71,24,57.1493,15.3194
0,16,56,23,6.63843,15.2785
0,15,61,27,9.91334,15.2533
0,15,61,27,12.2809,15.2394
0,15,61,27,8.02085,15.2058
1,34,52,15,4.7644,15.1575
0,34,52,15,39.744,15.2708
0,34,52,15,8.9304,15.2417
1,84,64,24,3.9937,15.1904
1,134,71,17,4.13519,15.1401
0,158,64,10,3.59869,15.0879
0,175,57,8,3.65715,15.0364
1,110,50,12,4.2614,14.9881
1,243,74,34,5.53021,14.9459
1,238,74,27,5.28773,14.9029
1,198,63,25,8.86871,14.8762
1,475,92,51,5.07344,14.8331
1,291,74,40,7.96851,14.8029
1,324,84,48,5.16239,14.7608
1,319,95,55,5.03459,14.7186
0,319,95,55,34.8578,14.8057
1,217,77,40,5.70158,14.7665
0,57,59,15,4.99259,14.7245
1,114,70,31,6.59826,14.6898
1,81,81,21,4.22563,14.6453
0,52,59,13,4.239,14.6012
0,58,62,18,6.51338,14.5671
0,41,61,23,9.04052,14.5439
0,36,68,20,7.71003,14.5153
0,22,76,18,5.25089,14.4767
0,32,59,13,4.68887,14.436
0,164,42,9,3.64742,14.3915
0,51,52,12,5.20936,14.3537
1,85,81,22,6.80133,14.3227
1,203,61,18,5.99733,14.2887
0,79,58,15,8.43882,14.265
0,79,58,15,64.9052,14.47
0,79,58,15,42.3766,14.5825
0,79,58,15,62.3243,14.7742
0,79,58,15,56.004,14.9392
0,79,58,15,54.422,15.0965
0,79,58,15,62.418,15.2842
0,79,58,15,28.5241,15.3366
0,79,58,15,15.9714,15.3391
