Total Keypoints train: 577

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
1,157,237,51,3.70685,13.7914
0,157,237,51,47.9804,13.9857
1,163,214,60,5.11989,13.9356
1,150,230,57,4.68489,13.8836
0,150,230,57,57.1423,14.1253
1,198,231,66,5.15385,14.0755
0,198,231,66,58.217,14.3193
1,191,239,78,5.98001,14.2735
1,175,230,69,5.68082,14.2266
0,175,230,69,53.4585,14.4398
1,181,223,66,5.73247,14.3927
0,181,223,66,57.2507,14.6231
1,171,219,55,4.51769,14.5691
1,163,224,41,3.79092,14.5118
0,57,232,39,4.67802,14.4597
1,183,236,56,3.91132,14.4042
0,40,194,42,5.11593,14.3556
1,145,192,23,3.73219,14.3003
1,131,227,47,3.79592,14.2458
1,125,213,33,3.84478,14.1922
0,128,220,17,3.94196,14.1397
1,111,239,49,3.91571,14.0875
1,136,186,28,3.42005,14.0333
0,60,191,22,4.8969,13.9872
0,95,226,23,4.35439,13.9388
0,95,226,23,58.2243,14.1602
0,95,226,23,46.6091,14.3217
0,74,237,28,4.62699,14.2737
0,96,208,21,4.35466,14.2248
0,96,208,21,56.3796,14.4314
0,96,208,21,45.7165,14.5841
0,96,208,21,61.4856,14.8117
0,109,207,16,4.009,14.7595
1,111,210,26,3.71281,14.7064
0,74,229,27,4.10749,14.6557
