detecMovimiento(preprocess) extraccion_y_descipcion correspondencias homografia convexidad_y_vertices  warp_perspective  fps  fpspromedio 
0,00228233 0,138066 0,00585889 0,121311 0,00000873 0 3,47186 inf
0,00171138 0 0 0 0 0 55,0723 58,5441
0,00164154 0,0245503 0,00115691 0,0466935 0,000002793 0 10,8959 34,72
0,00167339 0,00897715 0,000898084 0,00407752 0,000003004 0 33,6721 34,3707
0,00168645 0 0 0 0 0 65,4971 42,1523
0,0015703 0,0554783 0,000985247 0,0355183 0,000003073 0 9,34999 35,5918
0,00160027 0,0626052 0,00148168 0,0368507 0,000002584 0 8,63416 31,0989
0,00184303 0,0786802 0,0018732 0,121583 0,000002514 0 4,539 27,3046
0,00155256 0,0896449 0,00301818 0,122081 0,000002654 0 4,34966 24,4353
0,00161773 0,0971652 0,00456473 0,0648419 0,000006216 0,00888035 5,12511 22,2897
0,00162296 0,101169 0,00467313 0,0288991 0,000003422 0,00887888 6,23558 20,6843
0,00159391 0,103408 0,00488111 0,00471706 0,000002793 0,00886121 7,00707 19,4409
0,00160858 0,113232 0,00491331 0,0126492 0,000002723 0,00888593 6,37649 18,3522
0,00160802 0,0553729 0,0047026 0,0126105 0,00000426 0,00897784 9,7859 17,6932
0,00162939 0 0 0 0 0 56,6125 20,4732
0,00169679 0 0 0 0 0 52,7453 22,6247
0,0020483 0,0676951 0,00473647 0,0129852 0,000003003 0,00887595 8,62933 21,75
0,00204229 0,0929617 0,00483327 0,0244377 0,000002933 0,00899349 6,6045 20,859
0,0015615 0 0 0 0 0 59,1297 22,9852
0,00164343 0 0 0 0 0 59,6842 24,9167
0,00217548 0,0337899 0,00413151 0,124464 0,000003073 0 5,53213 23,9475
0,00167262 0 0 0 0 0 61,5199 25,7366
0,00204508 0 0 0 0 0 57,0328 27,1592
0,00163407 0 0 0 0 0 54,463 28,3463
0,00159454 0 0 0 0 0 48,2881 29,1772
0,0021541 0 0 0 0 0 49,2515 29,9802
0,00280586 0 0 0 0 0 57,4051 31,035
0,00297033 0 0 0 0 0 45,7873 31,5814
0,00211695 0 0 0 0 0 50,2866 32,2494
0,00169364 0 0 0 0 0 51,3008 32,9064
0,001571 0,0389787 0,00265472 0,123942 0,000003073 0,00887372 5,13574 31,9807
0,00164315 0 0 0 0 0 59,2592 32,8606
0,00160704 0 0 0 0 0 55,3185 33,5624
0,00165481 0 0 0 0 0 36,9497 33,6651
0,00172389 0,109629 0,00493538 0,0113153 0,000003632 0,00893336 6,4515 32,8647
0,00175336 0,11718 0,00504308 0,0319777 0,000003352 0,0089027 5,48528 32,0824
0,00167905 0 0 0 0 0 62,2282 32,9198
0,00169113 0 0 0 0 0 51,7515 33,4288
0,0020351 0 0 0 0 0 57,2672 34,0561
0,00167318 0 0 0 0 0 50,8672 34,4871
0,00157191 0 0 0 0 0 60,4855 35,1371
0,00168261 0 0 0 0 0 53,1153 35,5756
0,00157456 0 0 0 0 0 57,7871 36,1044
0,00169106 0 0 0 0 0 40,8849 36,2156
0,00160082 0 0 0 0 0 49,0315 36,5069
0,00163135 0 0 0 0 0 54,239 36,9009
0,00160564 0 0 0 0 0 57,1299 37,3407
0,00160313 0 0 0 0 0 54,8189 37,7126
0,00158246 0 0 0 0 0 55,2427 38,0778
0,00157603 0 0 0 0 0 57,3823 38,4718
0,00168568 0 0 0 0 0 56,2179 38,8267
0,00160516 0 0 0 0 0 54,5672 39,1353
0,00162317 0 0 0 0 0 50,7871 39,3594
0,00156584 0 0 0 0 0 57,3031 39,6979
0,00241789 0 0 0 0 0 52,0075 39,9259
0,00164971 0 0 0 0 0 53,1288 40,166
0,0017375 0 0 0 0 0 53,7318 40,4082
0,00170943 0 0 0 0 0 55,9188 40,6803
0,00157289 0,0448257 0,00857542 0,110179 0,000003213 0,0119678 5,17416 40,0681
0,00162352 0 0 0 0 0 53,5213 40,2962
0,00166138 0 0 0 0 0 53,479 40,5159
0,00159691 0 0 0 0 0 57,9044 40,8009
0,00180043 0 0 0 0 0 51,3794 40,9716
0,00165586 0 0 0 0 0 56,0256 41,2105
0,00190736 0 0 0 0 0 56,2239 41,4451
0,00169679 0 0 0 0 0 53,1827 41,6257
0,00160516 0 0 0 0 0 49,3047 41,742
0,0020103 0 0 0 0 0 48,237 41,839
0,00160536 0 0 0 0 0 55,9785 42,0469
0,00162485 0 0 0 0 0 51,7221 42,1871
0,00190359 0,0305069 0,00421993 0,121659 0,000003632 0 5,73253 41,6663
0,00157338 0 0 0 0 0 53,778 41,8369
0,00170209 0 0 0 0 0 49,3389 41,9411
0,00156555 0 0 0 0 0 60,0886 42,1897
0,00163861 0 0 0 0 0 50,6742 42,3044
0,00288233 0,0516632 0,00496758 0,0504767 0,000003771 0,00905076 7,31128 41,8378
0,00157848 0 0 0 0 0 54,7466 42,0076
0,00166529 0 0 0 0 0 48,5531 42,0927
0,00174106 0 0 0 0 0 56,0946 42,2722
0,00171453 0,0795708 0,00479877 0,0155093 0,000003352 0,00896248 7,67189 41,8342
0,00165851 0 0 0 0 0 55,5346 42,0054
0,00170202 0 0 0 0 0 52,2551 42,132
0,00161137 0 0 0 0 0 49,109 42,2171
0,001961 0 0 0 0 0 55,7168 42,3797
0,0019934 0 0 0 0 0 54,1648 42,52
0,00160117 0 0 0 0 0 55,6517 42,6745
0,00192565 0 0 0 0 0 53,3104 42,7982
0,00201617 0 0 0 0 0 49,6502 42,8769
0,00162394 0 0 0 0 0 58,5756 43,0553
0,0016083 0 0 0 0 0 51,9966 43,1558
0,0015995 0 0 0 0 0 56,7957 43,3073
0,00172207 0 0 0 0 0 52,8237 43,4119
0,0117945 0 0 0 0 0 29,3583 43,2592
0,00166752 0 0 0 0 0 53,3959 43,3682
0,00163428 0 0 0 0 0 55,0817 43,4928
0,00156311 0 0 0 0 0 57,6038 43,6413
0,00156346 0 0 0 0 0 58,1025 43,7919
0,00163072 0 0 0 0 0 63,1748 43,9918
0,00185281 0 0 0 0 0 54,104 44,095
0,00161759 0 0 0 0 0 54,9388 44,2045
0,00200402 0 0 0 0 0 53,8125 44,3006
