Total Keypoints train: 192

Detectado Total_keypoints_object  coincidencias_validas(antes_de_ransac)  coincidencias_validas_(depues_ransac)  fps  fps_promedio
0 125 58 9 3,47186 inf
0 60 86 27 48,2464 45,287
0 78 56 15 8,56312 45,0783
0 78 56 15 54,2594 45,1302
0 78 56 15 52,6427 45,1724
0 78 56 15 47,726 45,1867
0 78 56 15 59,3506 45,2654
1 189 88 34 6,845 45,0531
0 189 88 34 61,9003 45,1457
0 189 88 34 55,8132 45,204
0 189 88 34 55,5736 45,2603
0 189 88 34 58,4116 45,3314
0 189 88 34 58,6542 45,403
0 189 88 34 65,5698 45,5109
0 189 88 34 60,5623 45,5909
0 189 88 34 61,08 45,6729
0 189 88 34 52,7645 45,7102
0 189 88 34 51,7196 45,7417
0 189 88 34 55,3068 45,7915
0 189 88 34 52,9965 45,8288
0 189 88 34 54,5288 45,8737
0 189 88 34 54,7645 45,9193
1 154 90 32 7,78732 45,7247
0 154 90 32 57,6568 45,7853
0 154 90 32 54,6268 45,8299
0 154 90 32 55,0412 45,8762
0 154 90 32 53,7607 45,9156
0 154 90 32 46,4403 45,9183
0 154 90 32 53,18 45,9542
0 154 90 32 57,0483 46,0089
0 154 90 32 49,6033 46,0265
0 154 90 32 52,0321 46,0558
0 154 90 32 57,6608 46,1121
0 154 90 32 55,4355 46,1571
0 154 90 32 54,5579 46,1975
0 154 90 32 57,225 46,2503
0 154 90 32 54,7881 46,2909
0 154 90 32 53,4647 46,3249
0 154 90 32 54,1886 46,362
0 154 90 32 53,8622 46,3973
0 154 90 32 47,8403 46,404
0 154 90 32 53,1719 46,4355
0 154 90 32 55,0448 46,4753
0 154 90 32 56,0601 46,5195
0 154 90 32 52,3555 46,5463
0 154 90 32 54,2566 46,5815
0 154 90 32 52,829 46,6099
0 154 90 32 50,792 46,6288
1 171 83 34 6,76302 46,4492
0 171 83 34 56,4114 46,4939
0 171 83 34 58,7479 46,5486
0 171 83 34 53,0475 46,5775
0 171 83 34 53,118 46,6064
0 171 83 34 54,9208 46,6431
0 171 83 34 54,3388 46,6768
0 171 83 34 54,0691 46,7091
0 171 83 34 54,1124 46,7413
0 171 83 34 48,1092 46,7472
0 171 83 34 58,6714 46,7986
0 171 83 34 54,8483 46,8331
0 171 83 34 50,6822 46,8496
0 171 83 34 47,4313 46,8521
0 171 83 34 57,0902 46,8955
0 171 83 34 52,1129 46,9175
0 171 83 34 54,3536 46,9487
0 171 83 34 50,5947 46,964
0 171 83 34 53,7345 46,9922
0 171 83 34 52,9497 47,0169
0 171 83 34 43,0888 47,0007
0 171 83 34 58,4662 47,0478
0 171 83 34 51,843 47,0675
0 171 83 34 56,2496 47,105
0 171 83 34 38,9907 47,072
0 171 83 34 52,2056 47,0928
0 171 83 34 30,4193 47,0255
0 171 83 34 52,7758 47,0486
0 171 83 34 55,7753 47,0835
0 75 85 13 5,15549 46,9165
0 75 85 13 40,8913 46,8926
0 75 85 13 52,8989 46,9163
0 75 85 13 52,8823 46,9398
0 75 85 13 48,3415 46,9453
0 75 85 13 39,0291 46,9144
0 75 85 13 54,7074 46,9447
0 75 85 13 61,9159 47,0027
0 75 85 13 48,2531 47,0076
0 75 85 13 58,4556 47,0516
0 75 85 13 56,8442 47,0891
0 75 85 13 55,3711 47,1207
0 75 85 13 53,4442 47,1448
0 75 85 13 46,955 47,1441
0 75 85 13 49,6003 47,1533
0 75 85 13 49,259 47,1612
0 75 85 13 54,9878 47,1906
0 75 85 13 55,1817 47,2204
0 75 85 13 40,8427 47,1967
0 75 85 13 56,1517 47,2298
0 71 56 13 6,19045 47,0784
0 71 56 13 38,8985 47,0483
0 71 56 13 48,3165 47,053
0 71 56 13 53,3274 47,0759
0 71 56 13 54,1683 47,1017
1 85 91 33 10,1233 46,9677
0 85 91 33 57,2179 47,0047
0 85 91 33 52,9945 47,0262
0 85 91 33 27,8397 46,9575
0 85 91 33 49,039 46,9649
0 85 91 33 57,1096 47,001
0 85 91 33 54,8096 47,0287
0 85 91 33 55,0715 47,0571
0 85 91 33 53,8705 47,0811
0 85 91 33 53,894 47,105
0 85 91 33 53,7807 47,1283
0 85 91 33 56,004 47,1593
0 85 91 33 35,6126 47,1192
0 85 91 33 54,1949 47,1437
0 85 91 33 55,9472 47,174
0 85 91 33 53,2252 47,1948
1 52 72 11 5,21978 47,0511
1 96 59 12 4,10263 46,9045
1 110 69 18 4,98733 46,7619
1 151 83 30 7,0998 46,6275
0 151 83 30 58,7133 46,6683
1 154 76 36 6,59552 46,5334
1 190 93 40 7,13872 46,4012
0 190 93 40 50,221 46,4139
0 190 93 40 30,0445 46,3594
0 190 93 40 55,6946 46,3904
0 67 65 13 5,89922 46,2563
0 67 65 13 65,5094 46,3199
1 152 90 40 7,39585 46,1918
0 152 90 40 24,2178 46,1198
0 152 90 40 50,1777 46,133
0 152 90 40 47,8518 46,1386
0 87 78 13 5,24114 46,0058
0 87 78 13 55,2791 46,0359
0 87 78 13 53,4899 46,0599
0 87 78 13 55,0875 46,0889
0 87 78 13 55,4567 46,119
0 87 78 13 40,6271 46,1014
1 146 92 42 9,73945 45,9856
0 146 92 42 53,6974 46,0101
0 146 92 42 53,0166 46,0323
0 146 92 42 47,108 46,0357
0 146 92 42 53,4531 46,059
0 146 92 42 52,8789 46,0804
0 146 92 42 50,5307 46,0943
0 146 92 42 53,4333 46,1171
0 60 79 16 5,80872 45,9919
0 60 79 16 55,1998 46,0205
0 60 79 16 53,2313 46,0427
0 60 79 16 52,2739 46,0619
0 60 79 16 48,4919 46,0693
0 60 79 16 49,0843 46,0786
1 127 90 49 7,86579 45,9621
0 127 90 49 43,613 45,9549
0 127 90 49 52,4609 45,9746
0 127 90 49 50,0048 45,9868
1 162 94 42 6,79168 45,8687
1 179 93 41 7,56584 45,7537
1 182 84 46 7,88271 45,6403
0 182 84 46 53,2935 45,6632
1 150 90 53 8,88321 45,5537
1 155 111 44 7,79715 45,4417
1 138 90 44 8,29793 45,3318
1 108 85 36 7,46246 45,2201
1 52 84 18 4,96413 45,1017
1 124 86 44 7,26475 44,9907
1 158 93 42 5,55274 44,8754
1 174 77 37 6,38239 44,7632
1 123 87 23 4,69455 44,6467
0 174 94 31 5,7325 44,5339
0 112 74 12 3,94238 44,4166
0 137 87 30 5,70756 44,305
1 150 84 27 5,63441 44,1939
1 150 93 34 6,46978 44,0858
1 173 91 39 7,21709 43,9805
1 120 84 23 5,56613 43,871
1 169 101 41 6,86342 43,7659
1 54 80 16 4,32607 43,6542
0 104 72 23 5,75758 43,5471
1 128 85 30 7,524 43,4457
1 173 82 37 6,2064 43,341
1 143 93 50 7,37268 43,2403
1 150 96 46 6,67762 43,1382
1 165 83 50 7,40411 43,0386
1 199 107 59 7,83037 42,9408
1 180 107 59 7,72547 42,8433
1 80 72 19 5,69934 42,7407
1 100 86 37 7,85878 42,6446
1 134 96 48 7,42209 42,5478
