"ciclo"	"detecMovimiento(preprocess)"	"extraccion_y_descipcion"	"correspondencias"	"homografia"	"convexidad_y_vertices"	"warp_perspective"	"fps"	"fpspromedio"		
108	0,00183346	0	0	0	0	0	63,2434	49,6604		
109	0,00203146	0	0	0	0	0	62,4069	49,7784		
110	0,00735774	0	0	0	0	0	46,0109	49,7438		
111	0,00181489	0	0	0	0	0	55,2398	49,7938		
112	0,00242229	0	0	0	0	0	43,5405	49,7375		
113	0,00185421	0	0	0	0	0	55,0268	49,7847		
114	0,00166571	0	0	0	0	0	57,7068	49,8548		
115	0,00252119	0	0	0	0	0	47,117	49,8308		
116	0,00220446	0	0	0	0	0	42,1246	49,7638		
117	0,00231334	0	0	0	0	0	50,7871	49,7726		
118	0,00198181	0	0	0	0	0	26,9404	49,5774		
119	0,00216311	0	0	0	0	0	43,9714	49,5299		
120	0,00158727	0	0	0	0	0	61,3301	49,6291		
121	0,00165767	0	0	0	0	0	56,4753	49,6861		
122	0,00166068	0	0	0	0	0	55,857	49,7371		
123	0,00162464	0	0	0	0	0	63,0675	49,8464		
124	0,00170691	0	0	0	0	0	61,1852	49,9386		
125	0,00162024	0	0	0	0	0	65,4705	50,0639		
126	0,00199501	0	0	0	0	0	39,1161	49,9763		
127	0,00169448	0	0	0	0	0	60,802	50,0622		
128	0,00179673	0	0	0	0	0	52,1019	50,0783		
129	0,00173436	0	0	0	0	0	65,6817	50,2002		
130	0,00167891	0	0	0	0	0	50,1004	50,1994		
131	0,00166515	0	0	0	0	0	53,3728	50,2238		
132	0,00167855	0	0	0	0	0	53,4906	50,2487		
133	0,0022502	0	0	0	0	0	43,2077	50,1954		
134	0,00184729	0	0	0	0	0	60,2223	50,2708		
135	0,00207749	0	0	0	0	0	42,834	50,2153		
136	0,00210305	0	0	0	0	0	55,528	50,2546		
137	0,00168317	0	0	0	0	0	55,3032	50,2918		
138	0,0016312	0	0	0	0	0	56,715	50,3386		
139	0,00160033	0	0	0	0	0	42,6242	50,2827		
140	0,00178388	0	0	0	0	0	46,5594	50,256		
141	0,00169259	0	0	0	0	0	43,6875	50,209		
142	0,00247432	0	0	0	0	0	46,305	50,1813		
143	0,00159349	0	0	0	0	0	61,8118	50,2633		
144	0,00160529	0	0	0	0	0	56,6568	50,308		
