detecMovimiento(preprocess),extraccion y descipcion, correspondencias, homografia, convexidad y vertices, warp perspective, fps, fpspromedio 
0.00281501,0.119452,0.00243249,0.121961,1.0057e-05,0,3.49894,inf
0.00170126,0,0,0,0,0,54.9813,58.4802
0.00232808,0,0,0,0,0,51.3027,54.8915
0.00209558,0,0,0,0,0,44.049,51.2773
0.0016935,0,0,0,0,0,31.2032,46.2588
0.0117354,0,0,0,0,0,36.5431,44.3157
0.00167779,0,0,0,0,0,57.7203,46.5498
0.00158399,0,0,0,0,0,62.4999,48.8283
0.00166731,0,0,0,0,0,25.8351,45.9542
0.00168317,0,0,0,0,0,20.3054,43.1043
0.00168715,0,0,0,0,0,35.8279,42.3767
0.00268922,0,0,0,0,0,30.9465,41.3376
0.002143,0,0,0,0,0,54.7109,42.452
0.00172723,0,0,0,0,0,50.3041,43.056
0.0229978,0,0,0,0,0,24.7684,41.7498
0.00170258,0,0,0,0,0,40.1185,41.641
0.00185672,0,0,0,0,0,60.186,42.8001
0.0016495,0,0,0,0,0,29.5682,42.0217
0.0036399,0,0,0,0,0,38.1449,41.8064
0.00163581,0,0,0,0,0,36.1441,41.5083
0.00669844,0,0,0,0,0,39.3344,41.3996
0.00167011,0,0,0,0,0,45.5893,41.5991
0.00174316,0,0,0,0,0,48.9331,41.9325
0.00158008,0,0,0,0,0,50.8388,42.3197
0.00170216,0,0,0,0,0,60.5475,43.0792
0.00200052,0,0,0,0,0,37.0948,42.8399
0.00175028,0,0,0,0,0,51.1875,43.1609
0.00165872,0,0,0,0,0,48.8403,43.3713
0.00158525,0,0,0,0,0,55.3346,43.7985
0.00166326,0,0,0,0,0,49.222,43.9855
0.00162785,0,0,0,0,0,50.4669,44.2016
0.00220676,0,0,0,0,0,47.4067,44.305
0.00216849,0,0,0,0,0,57.5943,44.7203
0.00183675,0,0,0,0,0,52.315,44.9504
0.00235664,0,0,0,0,0,62.1231,45.4555
0.00353339,0,0,0,0,0,50.7742,45.6075
0.00271723,0,0,0,0,0,53.0394,45.8139
0.00203454,0,0,0,0,0,51.4746,45.9669
0.00160522,0,0,0,0,0,49.6403,46.0636
0.00170943,0,0,0,0,0,49.6502,46.1555
0.001728,0,0,0,0,0,51.2425,46.2827
0.00179945,0,0,0,0,0,57.5706,46.558
0.00160264,0,0,0,0,0,45.7269,46.5382
0.00163791,0,0,0,0,0,53.7897,46.7069
0.00182851,0,0,0,0,0,40.8415,46.5736
0.00191658,0,0,0,0,0,52.2824,46.7004
0.00164175,0,0,0,0,0,56.7988,46.92
0.00254815,0,0,0,0,0,42.3227,46.8221
0.0118327,0,0,0,0,0,24.9469,46.3664
0.00163784,0,0,0,0,0,39.052,46.2171
0.00166585,0,0,0,0,0,62.1738,46.5363
0.00166927,0,0,0,0,0,60.0671,46.8016
0.00875581,0,0,0,0,0,29.769,46.474
0.00157931,0,0,0,0,0,66.1416,46.8451
0.00159496,0,0,0,0,0,63.8976,47.1609
0.00159971,0,0,0,0,0,64.193,47.4706
0.0016208,0,0,0,0,0,62.3095,47.7356
0.0016208,0,0,0,0,0,66.3614,48.0623
0.00158232,0,0,0,0,0,66.1374,48.374
0.00158106,0,0,0,0,0,67.8196,48.7035
0.00158755,0,0,0,0,0,62.7946,48.9384
